,Quart 1/4,Quart 1/2,Quart 3/4,Alpha,KappaNaught,1/4 solved h,1/4 fsolve check (should be zero),1/2 solved h,1/2 fsolve check,3/4 solved h,3/4 fsolve check,dE 1/4 (mV),dE 3/4 (mV),dE 1/2 (mV),E1/4 - E 3/4 (mV)
104,0.25,0.5,0.75,0.4,20.0,10.793179802326765,-0.0,8.431041957958453,0.0,8.992978554087907,-0.0,27.213038642034444,-31.95108699433733,1.9155690369074871,59.16412563637178
105,0.25,0.5,0.75,0.5,0.2,5.0,9.0,5.0,5.0,5.0,3.0,26.16801174394681,-34.90803625774402,3.1303901600254305,61.076048001690836
106,0.25,0.5,0.75,0.5,1.19,0.5243403715009797,0.0,0.5609385195210443,0.0,1.042580113091764,0.0,14.149624978222004,-69.50519406115714,23.943910232721812,83.65481903937915
107,0.25,0.5,0.75,0.5,2.18,0.9958366941865762,0.0,0.9605650329204248,0.0,1.4684612437109221,0.0,19.940613664347577,-53.23950193061219,14.151360227335822,73.18011559495977
108,0.25,0.5,0.75,0.5,3.17,1.473700408014638,-0.0,1.371955315219593,-0.0,1.9296600579829362,-0.0,22.256077419861537,-46.282838802843976,10.189603348959443,68.53891622270551
109,0.25,0.5,0.75,0.5,4.16,1.9540621485466387,0.0,1.787105207765721,0.0,2.4025655600147,-0.0,23.52675349600968,-42.41253276985588,8.015662961274453,65.93928626586556
110,0.25,0.5,0.75,0.5,5.15,2.4357635284420223,0.0,2.2039634816367566,-0.0,2.8805015387788115,-0.0,24.337791603385824,-39.93658146317868,6.629711096598614,64.27437306656451
111,0.25,0.5,0.75,0.5,6.14,2.9182926586949756,0.0,2.621757988627162,-0.0,3.360986847365949,-0.0,24.903579712218765,-38.210651887418344,5.663716562588019,63.11423159963711
112,0.25,0.5,0.75,0.5,7.13,3.4013769741839983,0.0,3.0401282550644635,0.0,3.842916537067377,0.0,25.322154140797068,-36.93577920206949,4.9494236931324815,62.25793334286656
113,0.25,0.5,0.75,0.5,8.12,3.884854611445707,-0.0,3.458881175359171,0.0,4.325732925994623,0.0,25.64503701912905,-35.95398031080295,4.398534396942222,61.599017329931996
